event_date,checked_at,intervalo_s
2026-08-18,2026-08-18 13:04:58.343000-03:00,2.466
2026-08-18,2026-08-18 13:05:01.025000-03:00,2.682
2026-08-18,2026-08-18 13:05:02.933000-03:00,1.908
2026-08-18,2026-08-18 13:05:06.879000-03:00,3.946
2026-08-18,2026-08-18 13:05:11.045000-03:00,4.166
2026-08-18,2026-08-18 13:05:20.167000-03:00,9.122
2026-08-18,2026-08-18 13:05:23.616000-03:00,3.449
2026-08-18,2026-08-18 13:05:27.487000-03:00,3.871
2026-08-18,2026-08-18 13:05:30.159000-03:00,2.672
2026-08-18,2026-08-18 13:05:33.463000-03:00,3.304
2026-08-18,2026-08-18 13:05:35.841000-03:00,2.378
2026-08-18,2026-08-18 13:05:38.867000-03:00,3.026
2026-08-18,2026-08-18 13:05:42.701000-03:00,3.834
2026-08-18,2026-08-18 13:05:46.041000-03:00,3.34
2026-08-18,2026-08-18 13:05:47.813000-03:00,1.772
2026-08-18,2026-08-18 13:05:50.952000-03:00,3.139
2026-08-18,2026-08-18 13:05:53.298000-03:00,2.346
2026-08-18,2026-08-18 13:05:57.116000-03:00,3.818
2026-08-18,2026-08-18 13:05:59.896000-03:00,2.78
2026-08-18,2026-08-18 13:06:03.633000-03:00,3.737
2026-08-18,2026-08-18 13:06:06.291000-03:00,2.658
2026-08-18,2026-08-18 13:06:09.965000-03:00,3.674
2026-08-18,2026-08-18 13:06:12.811000-03:00,2.846
2026-08-18,2026-08-18 13:06:15.498000-03:00,2.687
2026-08-18,2026-08-18 13:06:18.806000-03:00,3.308
2026-08-18,2026-08-18 13:06:35.319000-03:00,16.513
2026-08-18,2026-08-18 13:06:39.759000-03:00,4.44
2026-08-18,2026-08-18 13:06:43.071000-03:00,3.312
2026-08-18,2026-08-18 13:06:47.134000-03:00,4.063
2026-08-18,2026-08-18 13:06:49.913000-03:00,2.779
2026-08-18,2026-08-18 13:06:56.607000-03:00,6.694
2026-08-18,2026-08-18 13:07:01.266000-03:00,4.659
2026-08-18,2026-08-18 13:07:03.655000-03:00,2.389
2026-08-18,2026-08-18 13:07:05.356000-03:00,1.701
2026-08-18,2026-08-18 13:07:09.449000-03:00,4.093
2026-08-18,2026-08-18 13:07:12.336000-03:00,2.887
2026-08-18,2026-08-18 13:07:15.083000-03:00,2.747
2026-08-18,2026-08-18 13:07:23.347000-03:00,8.264
2026-08-18,2026-08-18 13:07:27.153000-03:00,3.806
2026-08-18,2026-08-18 13:07:33.529000-03:00,6.376
2026-08-18,2026-08-18 13:07:37.302000-03:00,3.773
2026-08-18,2026-08-18 13:07:40.093000-03:00,2.791
2026-08-18,2026-08-18 13:07:42.587000-03:00,2.494
2026-08-18,2026-08-18 13:07:44.981000-03:00,2.394
2026-08-18,2026-08-18 13:07:48.725000-03:00,3.744
2026-08-18,2026-08-18 13:07:51.601000-03:00,2.876
2026-08-18,2026-08-18 13:07:54.423000-03:00,2.822
2026-08-18,2026-08-18 13:08:00.926000-03:00,6.503
2026-08-18,2026-08-18 13:08:04.645000-03:00,3.719
2026-08-18,2026-08-18 13:08:08.105000-03:00,3.46
2026-08-18,2026-08-18 13:08:11.190000-03:00,3.085
2026-08-18,2026-08-18 13:08:13.781000-03:00,2.591
2026-08-18,2026-08-18 13:08:24.357000-03:00,10.576
2026-08-18,2026-08-18 13:08:30.750000-03:00,6.393
2026-08-18,2026-08-18 13:08:36.285000-03:00,5.535
2026-08-18,2026-08-18 13:08:41.685000-03:00,5.4
2026-08-18,2026-08-18 13:08:44.606000-03:00,2.921
2026-08-18,2026-08-18 13:08:47.554000-03:00,2.948
2026-08-18,2026-08-18 13:08:49.527000-03:00,1.973
2026-08-18,2026-08-18 13:08:54.063000-03:00,4.536
2026-08-18,2026-08-18 13:09:00.120000-03:00,6.057
2026-08-18,2026-08-18 13:09:07.921000-03:00,7.801
2026-08-18,2026-08-18 13:09:11.109000-03:00,3.188
2026-08-18,2026-08-18 13:09:15.060000-03:00,3.951
2026-08-18,2026-08-18 13:09:17.847000-03:00,2.787
2026-08-18,2026-08-18 13:09:21.973000-03:00,4.126
2026-08-18,2026-08-18 13:09:26.645000-03:00,4.672
2026-08-18,2026-08-18 13:09:30.050000-03:00,3.405
2026-08-18,2026-08-18 13:09:32.718000-03:00,2.668
2026-08-18,2026-08-18 13:09:34.939000-03:00,2.221
2026-08-18,2026-08-18 13:09:37.502000-03:00,2.563
2026-08-18,2026-08-18 13:09:41.257000-03:00,3.755
2026-08-18,2026-08-18 13:09:44.472000-03:00,3.215
2026-08-18,2026-08-18 13:09:47.545000-03:00,3.073
2026-08-18,2026-08-18 13:09:50.695000-03:00,3.15
2026-08-18,2026-08-18 13:09:55.274000-03:00,4.579
2026-08-18,2026-08-18 13:09:58.022000-03:00,2.748
2026-08-21,2026-08-21 12:10:03.758000-03:00,4.437
2026-08-21,2026-08-21 12:10:20.502000-03:00,16.744
2026-08-21,2026-08-21 12:10:25.471000-03:00,4.969
2026-08-21,2026-08-21 12:10:28.911000-03:00,3.44
2026-08-21,2026-08-21 12:10:32.033000-03:00,3.122
2026-08-21,2026-08-21 12:10:35.751000-03:00,3.718
2026-08-21,2026-08-21 12:10:39.835000-03:00,4.084
